test,BetacommandBot|MediaWiki default
bpy,Albambot|Alexbot|AlleborgoBot|Almabot|BodhisattvaBot|BotMultichill|Byrialbot|Diego Grez Bot|DragonBot|Escarbot|Idioma-bot|JAnDbot|JhsBot|Le Pied-bot|Loveless|MediaWiki default|PipepBot|PixelBot|Purbo T|Robbot|SieBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TobeBot|Usinghabot|VolkovBot|WikiDreamer Bot|ã‚¿ãƒ�ã‚³ãƒž robot
bi,Alexbot|AlleborgoBot|BotMultichill|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|Thijs!bot|YonaBot
mi,Alexbot|AlleborgoBot|BOTijo|BotMultichill|Byrialbot|Escarbot|FalcoBot|FiriBot|HerculeBot|Idioma-bot|JAnDbot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SieBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|VolkovBot|WikiDreamer Bot|YurikBot
arz,Almabot|AmphBot|D\|Diego Grez Bot|DixonDBot|Egmontbot|GhalyBot|JackieBot|KamikazeBot|LucienBOT|MystBot|Purbo T|TechBot
tn,AlleborgoBot|BotMultichill|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot
ro,Adlerbot|Aibot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|Andrebot|ArkBot|ArthurBot|BOTarate|BOTijo|BodhisattvaBot|BokimBot|BotMultichill|BotSottile|BourgeBot|ButkoBot|Byrialbot|CarsracBot|Chobot|CommonsDelinker|CommonsTicker|DSisyphBot|D\|Darkicebot|Diego Grez Bot|Dinamik-bot|DirlBot|DorganBot|DragonBot|Egmontbot|EleferenBot|EmausBot|EmilyBot|Escarbot|Ficbot|FiriBot|FirilacrocoBot|FlaBot|GEObot|GhalyBot|GnawnBot|Goliathbot|GutzaBot|HerculeBot|Idioma-bot|IulianuBot|JAnDbot|Jotterbot|KamikazeBot|Kwjbot|Kyle the bot|Le Pied-bot|Loveless|Luckas-bot|MSBOT|MastiBot|MauritsBot|MenoBot|MerlLinkBot|MihaitzaBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|Numbo3-bot|OKBot|Obersachsebot|Pbot|PipepBot|PixelBot|Ptbotgourou|Purbo T|QualiaBot|Rad Urs Bot|RadufanBot|RebelRobot|RedBot|Rei-bot|RibotBOT|RoamBot|Robbot|RobotQuistnix|Robotul Arhivar|Rubinbot|SCriBOT|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Strainubot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TuvicBot|Ver-bot|VerifierBot|Vini 17bot5|VolkovBot|WarddrBOT|WelcomeBot|WikiDreamer Bot|Wybot|Xqbot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
tr,AZatBot|Aibot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|ArthurBot|BOTarate|BOTijo|BetBot|BodhisattvaBot|BotMultichill|BotSottile|Botz|Byrialbot|CarsracBot|Chobot|CommonsDelinker|DSisyphBot|D\|Daibot|Darkicebot|Dbl2010bot|Dinamik-bot|DirlBot|DorganBot|DrFO.Tn.Bot|DragonBot|Egmontbot|EleferenBot|EmBOTellado|EmausBot|Escarbot|Ficbot|FiriBot|FlaBot|GAWB|Gerakibot|GhalyBot|GnawnBot|HerculeBot|Huzzlet the bot|Idioma-bot|IndvTbot|JAnDbot|Jimqode bot|KamikazeBot|KaraBot|Katip-bot|Khutuck Bot|KocjoBot|Kwjbot|Kyle the bot|LA2-bot|LaaknorBot|Le Pied-bot|Locobot|Loveless|Luckas-bot|MSBOT|MastiBot|MauritsBot|MediaWiki default|MelancholieBot|Memty Bot|MenoBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|Obersachsebot|OrBot|PipepBot|PolarBot|Ptbotgourou|Purbo T|QualiaBot|R. Hillgentleman|RedBot|Rei-bot|RibotBOT|Riccardobot|Robbot|RobotJcb|Rubinbot|STBot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|TaBOT-zerem|Tanhabot|TembelBot|Thijs!bot|TjBot|TobeBot|TuvicBot|Ugur Basak Bot|VanBot|Ver-bot|VolkovBot|WikiDreamer Bot|Wybot|XeBot|Xqbot|YBot|YonaBot|YurikBot|Zwobot|Zxabot|Zyxwvut-Bot|ã‚¿ãƒ�ã‚³ãƒž robot
nap,ABot|AHbot|Alexbot|AlleborgoBot|Almabot|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|CruccoBot|Escarbot|FiriBot|JAnDbot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|RobotQuistnix|RobotSC|Rubinbot|SassoBot|SieBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TobeBot|TuvicBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
ce,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|Escarbot|Idioma-bot|MalafayaBot|MediaWiki default|MelancholieBot|Nohcho|PipepBot|Purbo T|SieBot|TXiKiBoT|TobeBot|VolkovBot|ã‚¿ãƒ�ã‚³ãƒž robot
ceb,Albambot|Alexbot|AlleborgoBot|Almabot|BentongBot|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Egmontbot|Escarbot|FoxBot|GhalyBot|GioBot|HerculeBot|Idioma-bot|Irobot|JAnDbot|Jordzro|Le Pied-bot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|MondalorBot|Muro Bot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Robbot|STBotD|SassoBot|SieBot|SpBot|Superzerocool|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
iu,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|Escarbot|Idioma-bot|JAnDbot|Loveless|MauritsBot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SieBot|SpBot|StigBot|TXiKiBoT|Thijs!bot|VolkovBot
sc,AlleborgoBot|BotMultichill|CruccoBot|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|TechBot|YurikBot
bug,Alexbot|AlleborgoBot|BotMultichill|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|YurikBot
sd,AlleborgoBot|BotMultichill|DragonBot|Loveless|MediaWiki default|PipepBot|Purbo T
lad,AlleborgoBot|BotMultichill|BotSottile|Byrialbot|Chlewbot|Darkicebot|Escarbot|Idioma-bot|JAnDbot|Loveless|LucienBOT|MauritsBot|MediaWiki default|NobelBot|PipepBot|PixelBot|Purbo T|ReigneBOT|Robbot|SieBot|StigBot|Superzerocool|VolkovBot|YonaBot|YurikBot
pnb,Purbo T
mdf,Alexbot|AlleborgoBot|Idioma-bot|Purbo T|SilvonenBot
xal,Alexbot|AlleborgoBot|BotMultichill|EmausBot|Idioma-bot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot
ace,Egmontbot|HerculeBot|Purbo T
id,AABot|Aibot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Alph Bot|Amirobot|ArthurBot|BOTarate|BenzolBot|BodhisattvaBot|Borgxbot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|Chobot|DSisyphBot|D\|Darkicebot|Dinamik-bot|DirlBot|DragonBot|Egmontbot|EleferenBot|EmausBot|Escarbot|Ficbot|FiriBot|FoxBot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|IvanBot|JAnDbot|KamikazeBot|Kenrick95Bot|Kwjbot|Loveless|Luckas-bot|MSBOT|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|Obersachsebot|OrophinBot|Penambah kategori|PipepBot|Ptbotgourou|Purbo T|Robbot|RobotQuistnix|Rubinbot|SassoBot|Sdbot|SieBot|SilvonenBot|SpBot|StigBot|Synthebot|TXiKiBoT|TediBot|Thijs!bot|TjBot|TobeBot|TottyBot|TuHan-Bot|TuvicBot|Ver-bot|VolkovBot|WikiDreamer Bot|Wybot|Xqbot|YonaBot|YurikBot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
se,AlleborgoBot|BOT-Superzerocool|BotMultichill|Byrialbot|EDUCA33E|Escarbot|Idioma-bot|JAnDbot|LA2-bot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SieBot|SilvonenBot|Soulbot|Superzerocool|TXiKiBoT|Thijs!bot|VolkovBot|YurikBot|Zwobot
ka,Albambot|AlleborgoBot|Almabot|AmphBot|BOTarate|BodhisattvaBot|BotMultichill|Byrialbot|Cosmeticer|Darkicebot|Dinamik-bot|DixonDBot|Egmontbot|Escarbot|FiriBot|FlrnBot|GhalyBot|GnawnBot|HedgeBot|HerculeBot|Idioma-bot|JAnDbot|KocjoBot|Le Pied-bot|Luckas-bot|MagnusA.Bot|MalafayaBot|MediaWiki default|MelancholieBot|MondalorBot|Muro Bot|OKBot|Obersachsebot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Rameshngbot|Robbot|RobotJcb|SassoBot|SieBot|SilvonenBot|Soulbot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TuvicBot|UltraBot|VolkovBot|WikiDreamer Bot|YurikBot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
ky,AlleborgoBot|BotMultichill|Idioma-bot|Loveless|MediaWiki default|PipepBot|PixelBot|Purbo T|SieBot
mwl,Alph Bot|Purbo T
ckb,Ebrambot|Maribot|Purbo T|Xqbot
krc,ArthurBot|EmausBot|Escarbot|HerculeBot|JAnDbot|VolkovBot|Xqbot
sv,Adlerbot|Aibot|Albambot|Alecs.bot|Alexbot|Amirobot|Analphabot|AndersBot|ArthurBot|BOT-Superzerocool|BOTarate|BensinDrivenBot|BenzolBot|BepBot|Bocianski.bot|BodhisattvaBot|Bot-arie|BotMultichill|BotSottile|BotdeSki|Broadbot|ButkoBot|Chlewbot|Chobot|D\|DaBot|Darkicebot|Diego Grez Bot|Dinamik-bot|DirlBot|DixonDBot|Doddebot|DrFO.Tn.Bot|DragonBot|Dumbot|Egmontbot|EleferenBot|EmausBot|EnBotEn|Escarbot|FANSTARbot|Ficbot|FlaBot|Flingabot|FlrnBot|Fluffbot|FriskoBot|GhalyBot|Gpvosbot|Grillbot|H92Bot|Habbot|Hejboten|HerculeBot|Hxhbot|Idioma-bot|Innocent bot|JAnDbot|JackieBot|Joppebot|KamikazeBot|KnucklesBot|Kruosiobot|KslotteBot|Kwjbot|Kyle the bot|L PBot|LA2-bot|LaaknorBot|LelleBot|LibertyBot|Louperibot|LucienBOT|Luckas-bot|MGA73bot|MSBOT|MagnusA.Bot|MastiBot|MauritsBot|MelancholieBot|MerlLinkBot|MickeBot|Milibot|MoRobotanist|MoRsBoT|MondalorBot|Muro Bot|MystBot|NHbot|Nallimbot|Njaelkies Bot|NobelBot|ObelixBot|Obersachsebot|Ojbot|Peti610bot|Petters robot|PoxBot|Ptbotgourou|Purbo T|Rei-bot|RibotBOT|Robbot|RobotQuistnix|Robotus|Rubinbot|SieBot|SilvonenBot|Soulbot|SpBot|SpillingBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TottyBot|TuHan-Bot|VanBot|Ver-bot|VolkovBot|VsBot|WarddrBOT|WikiBotas|Wybot|XZeroBot|Yonidebot|Zorrobot|Zwobot|Zxabot|ZÃ©roBot|Ð¡Ñ�Ñ€Ñ‚Ð¸Ð¾Ð½ (bot)
el,Aibot|Albambot|Alexbot|AlleborgoBot|Almabot|ArthurBot|BOTarate|BodhisattvaBot|BokimBot|BotMultichill|Botseed|Byrialbot|CarsracBot|Dadabot|Daibot|Darkicebot|Dead3y3 Bot|Dinamik-bot|DirlBot|Domo Arigato Misuta Roboto|DrFO.Tn.Bot|DragonBot|Egmontbot|Erwin85Bot|Escarbot|FlaBot|GerakiREFbot|Gerakibot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|Kwjbot|Le Pied-bot|Loveless|Luckas-bot|MSBOT|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|Muro Bot|NobelBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|QualiaBot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TuvicBot|VolkovBot|WikiDreamer Bot|X-Bot|YonaBot|YurikBot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
bs,AHbot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|ArthurBot|BOTarate|BetBot|BodhisattvaBot|BokimBot|BotMultichill|Byrialbot|CERabot|CarsracBot|Chobot|D\|DadoBot|Darkicebot|DirlBot|Egmontbot|EleferenBot|EmausBot|EmxBot|Erwin85Bot|Escarbot|FelixBot|FiriBot|FixyBot|GhalyBot|GnawnBot|Hashar|HerculeBot|Idioma-bot|JAnDbot|JackieBot|Kal-El-Bot|KamikazeBot|KocjoBot|Kwjbot|Le Pied-bot|Loveless|LucienBOT|Luckas-bot|MSBOT|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|Obersachsebot|PerkaBot|PipepBot|Ptbotgourou|Purbo T|Qualia|Robbot|Rubinbot|SashatoBot|SassoBot|SieBot|SilvonenBot|Soulbot|SoxBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|TuvicBot|Ver-bot|VolkovBot|WikiDreamer Bot|Xqbot|YonaBot|YurikBot|Zwobot|Zyxwvut-Bot|ã‚¿ãƒ�ã‚³ãƒž robot
ms,Albambot|Alexbot|AlleborgoBot|Almabot|ArrazzazBot|BodhisattvaBot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|ChempakaBot|CommonsDelinker|Darkicebot|Egmontbot|EmausBot|Escarbot|FoxBot|GhalyBot|GnawnBot|Idioma-bot|JAnDbot|Le Pied-bot|Loveless|Luckas-bot|MSWikiBot|MediaWiki default|MelancholieBot|MerlLinkBot|Muro Bot|PipepBot|Ptbotgourou|Purbo T|Robbot|Rubinbot|SassoBot|SieBot|SilvonenBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TuvicBot|VolkovBot|WikiDreamer Bot|ã‚¿ãƒ�ã‚³ãƒž robot
is,Almabot|B Ãžjarki|BotMultichill|BrÃºskurBot|Bumbuhali|CarsracBot|Darkicebot|DragonBot|Escarbot|GhalyBot|HerculeBot|Idioma-bot|JAnDbot|JabbiAWB|JhsBot|Jotterbot|KhanBot|LA2-bot|LaaknorBot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|MondalorBot|Obersachsebot|PixelBot|Ptbotgourou|Purbo T|Robbot|S.Ã–rvarr.S.NET|SauÃ°kindin|SieBot|SilvonenBot|Soulbot|SpBot|SpillingBot|StigBot|StÃ¡lÃ¾jarkur|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|Xqbot|Zorrobot
lt,Aibot|Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|ArthurBot|BotMultichill|CarsracBot|Chobot|DSisyphBot|D\|Darkicebot|Diego Grez Bot|DirlBot|DragonBot|Egmontbot|EleferenBot|EmausBot|Escarbot|Ficbot|GhalyBot|GnawnBot|HerculeBot|Homobot|Idioma-bot|JAnDbot|KamikazeBot|Kwjbot|LA2-bot|LaaknorBot|Lot-bot-as|Loveless|Luckas-bot|MastiBot|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|Obersachsebot|PipepBot|Ptbotgourou|Purbo T|Qwa bot|RibotBOT|Robbot|Rubinbot|SieBot|SilvonenBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|VP-bot|Ver-bot|VolkovBot|WikiBotas|Wybot|Xqbot|ZÃ©roBot
sn,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|SpBot
csb,AlleborgoBot|BotMultichill|EmausBot|Escarbot|JAnDbot|Loveless|MediaWiki default|Purbo T|Robbot|SieBot|TXiKiBoT|Thijs!bot|Tsca.bot|YurikBot
it,.pier.bot.|.snoopybot.|21Bot|AHbot|AStarBot|Abbot|Abisys.bot|Adlerbot|AfnecorsBot|Aibot|Albambot|Alecs.bot|Alexbot|Almabot|AlnoktaBOT|Alph Bot|Amirobot|ArcheoBot|ArthurBot|AsgardBot|AstaBOTh15|AttoBot|AushulzBot|BOTarate|BOTijo|BenzolBot|BetBot|BetaBot|Biobot|BokimBot|Bot-Schafter|BotMultichill|BotSimo82|BotSottile|BotdeSki|Brodobot|ButkoBot|Byrialbot|C1PB8|CalipperBot|CarsracBot|Chlewbot|Chobot|CivviBot|CopyBot|CruccoBot|DSisyphBot|D\|Dangarbot|DarkApBot|Darkicebot|Dinamik-bot|DirlBot|DixonDBot|DodekBot|DorganBot|DrFO.Tn.Bot|DragonBot|DumZiBoT|DzagBot|Egmontbot|EivindBot|ElMeBot|EleferenBot|EmBOTellado|EmausBot|Escarbot|Estirabot|FANSTARbot|Ficbot|Filbot|FiriBot|FixBot|FlaBot|FrescoBot|G-bot|Gacbot|Gerakibot|GhalyBot|Ginosbot|GnawnBot|GnuBotmarcoo|Gpvosbot|GrouchoBot|Guzzantobot|Gvnnbot|HRoestBot|HerculeBot|HubbleBot|Huzzlet the bot|Hxhbot|IagaBot|Idioma-bot|IncolaBot|Ita01.bot|JAnDbot|JackieBot|JaloBot|Jotterbot|KSBot|Kal-El-Bot|KamikazeBot|Kaspobot|KhanBot|KiaBot|Kroninbot|Kwjbot|Kyle the bot|LSG1-Bot|LaaknorBot|Le Pied-bot|LeonardoRob0t|LinkFA-Bot|Louperibot|LucienBOT|Luckas-bot|Lusumbot|MSBOT|Maksim-bot|MalafayaBot|Marco27Bot|MastiBot|MauritsBot|MauroBot|MediaWiki default|MelancholieBot|Melosbot|MenasimBot|MenoBot|Mentibot|MerlLinkBot|MicoBot|MondalorBot|MoriBot|Muro Bot|MystBot|Nallimbot|Nikbot|Nono le petit robot|NuclearBot|OKBot|Obersachsebot|PalicaBOT|Pap3rBot|PavelBOT|PertBot|Peti610bot|PipepBot|PixelBot|PolarBot|Ptbotgourou|Quabot|QualiaBot|RamboT|Rameshngbot|RanZbot|RebelRobot|RedBot|Rei-bot|ReigneBOT|Riad.Bot|RibotBOT|Ripchip Bot|Ripebot|Robbot|RoboServien|RobotQuistnix|Rubinbot|Rutja76bot|STBot|SVGBot|SanniBot|SashatoBot|SassoBot|SicilianoBot|SieBot|SilvonenBot|Sirbot|SkyBot|Soulbot|SpBot|SpillingBot|StigBot|SunBot|SuperBot|Superninobot|Synthebot|TARBOT|TXiKiBoT|Tanhabot|Tassobot|Tatobot|Team OTRS-Bot|Thijs!bot|Thollybot|TjBot|TobeBot|ToePeu.bot|Tombot|Toobazbot|TottyBot|Trixtbot|TuHan-Bot|TuvicBot|Ugur Basak Bot|VanBot|Ver-bot|Vini 17bot5|VolkovBot|WikiBotas|WinstonBot|Wybot|XZeroBot|Xqbot|YaFKBOT|Yonidebot|YuBot|ZeroBot|ZimbuBot|Zwobot|Zxabot|ZÃ©roBot
et,Aibot|Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|BodhisattvaBot|BotMultichill|Botz|Byrialbot|CarsracBot|ChenzwBot|D\|DaBot|Darkicebot|DirlBot|DragonBot|EDUCA33E|Egmontbot|EleferenBot|EmausBot|Escarbot|FiriBot|GhalyBot|GnawnBot|HerculeBot|Homobot|Idioma-bot|JAnDbot|KrattBot|Kwjbot|LA2-bot|Le Pied-bot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|MondalorBot|Muro Bot|NobelBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|RibotBOT|Robbot|SamuraiBot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Superzerocool|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TuvicBot|VolkovBot|WikiDreamer Bot|WinstonBot|Xqbot|YurikBot|Zwobot|Zxabot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
cu,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Escarbot|Idioma-bot|JAnDbot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SieBot|Soulbot|SpBot|StigBot|TXiKiBoT|Thijs!bot|VolkovBot|Zorrobot
wuu,Alexbot|Almabot|ArthurBot|BotMultichill|CarsracBot|Chobot|D\|Darkicebot|DirlBot|EleferenBot|EmausBot|Escarbot|GhalyBot|HerculeBot|Idioma-bot|JAnDbot|Jotterbot|KamikazeBot|KhanBot|LaaknorBot|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|MenoBot|MerlLinkBot|Muro Bot|Obersachsebot|Ptbotgourou|Robbot|Rubinbot|SassoBot|SieBot|SilvonenBot|SpBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|Xqbot|Zorrobot
bar,Alexbot|AlleborgoBot|BenzolBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Escarbot|JAnDbot|Kwjbot|LibelluliaBot|LinkFA-Bot|Lou.bot|LucienBOT|Luckas-bot|MediaWiki default|MelancholieBot|NobelBot|PipepBot|Ptbotgourou|Purbo T|Robbot|Rubinbot|SieBot|SiemiBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|Xqbot|Zxabot
lbe,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|SieBot
zh_classical,Albambot|Alexbot|AlleborgoBot|BotMultichill|Byrialbot|Chobot|Escarbot|FiriBot|JAnDbot|Kwjbot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|P-bot|PipepBot|Purbo T|Robbot|SieBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijssie!bot|TobeBot|VolkovBot|ã‚¿ãƒ�ã‚³ãƒž robot
kw,AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|JAnDbot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SieBot|SpBot|Sz-iwbot|TXiKiBoT|TobeBot|VolkovBot|YurikBot
kv,AlleborgoBot|BotMultichill|EmausBot|Idioma-bot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot
fa,Adlerbot|Albambot|Alexbot|AlleborgoBot|Almabot|AlnoktaBOT|Amirobot|Amirobot1|Amolbot|AmphBot|ArthurBot|BOT-Superzerocool|BodhisattvaBot|BotMultichill|Broadbot|BryanBot|Byrialbot|CarsracBot|Chobot|CommonsDelinker|DSisyphBot|D\|Darkicebot|Diego Grez Bot|Dinamik-bot|DirlBot|DorganBot|DrFO.Tn.Bot|DragonBot|DumZiBoT|Ebrambot|Egmontbot|Elessar|EmausBot|Escarbot|FiriBot|Gerakibot|Gerehgoshaa|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|JhsBot|Jotterbot|KhanBot|Kwjbot|LaaknorBot|Le Pied-bot|Loveless|Luckas-bot|MagnusA.Bot|MediaWiki default|MelancholieBot|MenoBot|MerlLinkBot|MondalorBot|Muro Bot|Nallimbot|NobelBot|OKBot|Obersachsebot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Robbot|Rubinbot|Sahimrobot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Tanhabot|Tarabot|Thijs!bot|TinucherianBot II|TjBot|Tjmoel|TobeBot|TuvicBot|VolkovBot|WeggeBot|WikiDreamer Bot|Wybot|XeBot|Xqbot|YonaBot|YurikBot|Zeerak|Zorrobot|Zxabot|Ã†ON|Ø¯Ø§Ù†ÛŒÙ„|Ø±Ø¨ÙˆØ³Ø§Ù…|ã‚¿ãƒ�ã‚³ãƒž robot
cs,A0|AHbot|Aibot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|AmphBot|Andersbot|ArthurBot|BOTarate|BenzolBot|BerenBot|BodhisattvaBot|BokimBot|BotMultichill|Bota47|BumlaBot|ButkoBot|CarsracBot|Chobot|DSisyphBot|D\|DaBlerBot|Darkicebot|Diego Grez Bot|Dinamik-bot|DirlBot|DixonDBot|DrFO.Tn.Bot|DragonBot|Egmontbot|EleferenBot|EmausBot|Escarbot|Ficbot|FiriBot|FlaBot|GhalyBot|GnawnBot|HerculeBot|Homobot|Honeybot|Idioma-bot|JAnDbot|JagRoBot|JoweBot|KBOT|KamikazeBot|Kwjbot|LA2-bot|LaaknorBot|Le Pied-bot|Louperibot|Loveless|LucienBOT|Luckas-bot|MGroBot|MSBOT|MastiBot|MauritsBot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|Obersachsebot|Peti610bot|PipepBot|PixelBot|Porthos|Ptbotgourou|Purbo T|Qualia|RedBot|Rei-bot|ReigneBOT|RgBot|Riad.Bot|RibotBOT|Robbot|RobotJcb|Rubinbot|SassoBot|SieBot|SilvonenBot|SlfiBot|Soulbot|SoxBot|SpBot|StigBot|Synthebot|TXiKiBoT|TchoÅ˜oBot|Thijs!bot|TjBot|TobeBot|TuHan-Bot|TuvicBot|VanBot|Ver-bot|Vini 17bot5|VolkovBot|WikiDreamer Bot|Wybot|Xqbot|Zlobot|Zwobot|Zxabot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
cy,Alexbot|AlleborgoBot|Almabot|BOTarate|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|DragonBot|DwyloBot|Egmontbot|Escarbot|FiriBot|FoxBot|GhalyBot|Hashar|Idioma-bot|JAnDbot|Luckas-bot|MediaWiki default|MelancholieBot|MondalorBot|PipepBot|Ptbotgourou|Purbo T|SieBot|SilvonenBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|VolkovBot|WikiDreamer|WikiDreamer Bot|YonaBot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
lij,AlleborgoBot|BotMultichill|DarioBot|Darkicebot|Escarbot|JAnDbot|Luckas-bot|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|SpBot|Synthebot|TXiKiBoT|TechBot|Thijs!bot|ã‚¿ãƒ�ã‚³ãƒž robot
bxr,Alexbot|AlleborgoBot|BotMultichill|Idioma-bot|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot
ie,AlleborgoBot|BenzolBot|BotMultichill|Byrialbot|CarsracBot|Escarbot|JAnDbot|Loveless|MalafayaBot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|SieBot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|VolkovBot
sg,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T
