test,BetacommandBot|MediaWiki default
got,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|YurikBot
tpi,AlleborgoBot|BOT-Superzerocool|BotMultichill|MediaWiki default|PipepBot|Purbo T|SieBot|TXiKiBoT|VolkovBot|YurikBot
mk,Aibot|Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|AmphBot|ArthurBot|Autobot|BetBot|BokimBot|BotMultichill|Brest-bot|Byrialbot|CarsracBot|D6 category bot|Darkicebot|Dinamik-bot|DirlBot|Egmontbot|EmausBot|Escarbot|FelixBot|Filip M Bot|FiriBot|Gerakibot|GhalyBot|GnawnBot|Idioma-bot|JAnDbot|JaynFM|Julian Mendez|Kiril-Bot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|MisosBot|MondalorBot|Muro Bot|NobelBot|PipepBot|Ptbotgourou|Purbo T|Robbot|Robo5|SashatoBot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TuvicBot|VolkovBot|WikiDreamer Bot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
tl,AiraBot|AlleborgoBot|Almabot|BodhisattvaBot|BotMultichill|Byrialbot|Egmontbot|Escarbot|FiriBot|FoxBot|HerculeBot|Idioma-bot|JAnDbot|Luckas-bot|Maskbot|MediaWiki default|MelancholieBot|MerlLinkBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SassoBot|SieBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TrengarasuBOT|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
srn,Alexbot|Idioma-bot|Purbo T
ee,Alexbot|AlleborgoBot|BotMultichill|Idioma-bot|MediaWiki default|PipepBot|Purbo T|SieBot|Synthebot|ã‚¿ãƒ�ã‚³ãƒž robot
ab,Alexbot|AlleborgoBot|BotMultichill|CarsracBot|Idioma-bot|Loveless|MediaWiki default|PipepBot|Purbo T|RCBot|SieBot|Sz-iwbot
na,AlleborgoBot|BotMultichill|Byrialbot|Escarbot|JAnDbot|Le Pied-bot|Loveless|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|Soulbot|StigBot|TXiKiBoT|Thijs!bot|VolkovBot|YurikBot
za,AlleborgoBot|BotMultichill|MediaWiki default|Purbo T|SieBot
af,Alexbot|Almabot|AmphBot|BotMultichill|Byrialbot|CarsracBot|Chlewbot|CyeZBot|Darkicebot|DewetInterwikiBot|Egmontbot|Escarbot|FlaBot|Gpvosbot|Hashar|HerculeBot|K.J.Bot|Kwjbot|LaaknorBot|LucienBOT|Luckas-bot|MediaWiki default|Ptbotgourou|Purbo T|Qualia|RCBot|Robbot|RoboDick|RoboServien|RobotE|RobotJcb|Rubinbot|SieBot|SoxBot|Synthebot|TXiKiBoT|TechBot|Thijs!bot|TuvicBot|VolkovBot|WikiDreamer Bot|YonaBot|YurikBot|Zwobot
ne,Albambot|AlleborgoBot|BotMultichill|DragonBot|Luckas-bot|MediaWiki default|PipepBot|Purbo T|SpBot
th,Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|BOTarate|BOTijo|BodhisattvaBot|BotKung|BotMultichill|Byrialbot|CarsracBot|CommonsDelinker|Darkicebot|DirlBot|DragonBot|Egmontbot|EleferenBot|EmausBot|Escarbot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|Jotterbot|KamikazeBot|Kwjbot|Le Pied-bot|LerdsuwaBot|Loveless|Luckas-bot|M-Bot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|Muro Bot|Nallimbot|NongBot|Octahedron81|Phibot|PipepBot|Ptbotgourou|Purbo T|Robbot|SassoBot|SieBot|SilvonenBot|SpBot|Synthebot|Sz-iwbot|TBot|TXiKiBoT|Thijs!bot|TjBot|TobeBot|TuvicBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
ss,Alexbot|AlleborgoBot|BotMultichill|CarsracBot|EDUCA33E|Escarbot|JAnDbot|Kimberley-nia Bot|MastiBot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|RCBot|Robbot|SieBot|SpBot|TXiKiBoT|VolkovBot
tt,Alexbot|AmaraBot|BotMultichill|CarsracBot|ClaymoreBot|Darkicebot|EmausBot|Escarbot|FoxBot|HerculeBot|Idioma-bot|JAnDbot|MelancholieBot|Memty Bot|Purbo T|Robbot|Rubinbot|SieBot|Soulbot|Sz-iwbot|TXiKiBoT|Thijs!bot|TimmingBot|TjBot|VolkovBot
frp,AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Escarbot|JAnDbot|MediaWiki default|MelancholieBot|PipepBot|PixelBot|Purbo T|Robbot|SieBot|SoxBot|SpBot|TXiKiBoT|Thijs!bot|VolkovBot
vo,Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|Amirobot|AndersBot|ArthurBot|BOTarate|BodhisattvaBot|BokimBot|BotMultichill|BotSottile|Byrialbot|CarsracBot|D\|Darkicebot|Diego Grez Bot|DirlBot|DragonBot|Egmontbot|Escarbot|Ficbot|FiriBot|FoxBot|GhalyBot|HerculeBot|Hxhbot|Idioma-bot|JAnDbot|King Willan Bot|Kwjbot|Kyle the bot|Le Pied-bot|Loveless|Luckas-bot|MalafayaBot|MastiBot|MediaWiki default|MelancholieBot|MenoBot|MondalorBot|Muro Bot|Nallimbot|NobelBot|OKBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Rei-bot|Robbot|Rubinbot|SassoBot|SieBot|SmeiraBot|SmeiraBot2|Soulbot|SpBot|SpaceBirdyBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TobeBot|TottyBot|Ver-bot|VolkovBot|WikiDreamer Bot|Wybot|Xqbot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
pms,Alexbot|AlleborgoBot|Almabot|BodhisattvaBot|BotMultichill|Byrialbot|CommonsDelinker|DirlBot|DragonBot|EDUCA33E|EmausBot|Escarbot|FloggerBot|Idioma-bot|Interwiki de|JAnDbot|Luckas-bot|MediaWiki default|MelancholieBot|Millbot|PipepBot|PmsBlamengh|Ptbotgourou|Purbo T|Robbot|RobotSC|Robotje|SassoBot|SieBot|Soulbot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|WikiDreamer Bot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
yo,Alexbot|AlleborgoBot|BotMultichill|CarsracBot|Diego Grez Bot|Egmontbot|Escarbot|Idioma-bot|JAnDbot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|SassoBot|SieBot|SpBot|TXiKiBoT|Thijs!bot|VolkovBot|ã‚¿ãƒ�ã‚³ãƒž robot
