20101102,aawiktionary,aawiktionary/20101102,stub|7z|bz2,locked
20100813,abwiki,abwiki/20100813,stub|7z|bz2
20100813,abwiktionary,abwiktionary/20100813,stub|7z|bz2
20100815,acewiki,acewiki/20100815,stub|7z|bz2
20100813,advisorywiki,advisorywiki/20100813,stub|7z|bz2
20100813,afwiki,afwiki/20100813,stub|7z|bz2
20100813,afwikibooks,afwikibooks/20100813,stub|7z|bz2
20100815,afwikiquote,afwikiquote/20100815,stub|7z|bz2
20100816,afwiktionary,afwiktionary/20100816,stub|7z|bz2
20110110,akwiki,akwiki/20110110,stub|7z|bz2
20110110,akwiktionary,akwiktionary/20110110,stub|7z|bz2
20100813,alswiki,alswiki/20100813,stub|7z|bz2
20100816,alswikibooks,alswikibooks/20100816,stub|7z|bz2
20100813,alswiktionary,alswiktionary/20100813,stub|7z|bz2
20100814,amwiki,amwiki/20100814,stub|7z|bz2
20100814,amwikiquote,amwikiquote/20100814,stub|7z|bz2
20100814,amwiktionary,amwiktionary/20100814,stub|7z|bz2
20110111,angwiki,angwiki/20110111,stub|7z|bz2
20110110,angwikibooks,angwikibooks/20110110,stub|7z|bz2
20110111,angwikiquote,angwikiquote/20110111,stub|7z|bz2
20110111,angwiktionary,angwiktionary/20110111,stub|7z|bz2
20110111,anwiki,anwiki/20110111,stub|7z|bz2
20110111,anwiktionary,anwiktionary/20110111,stub|7z|bz2
20110111,arcwiki,arcwiki/20110111,stub|7z|bz2
20100816,arwiki,arwiki/20100816,stub|7z|bz2
20100815,arwikibooks,arwikibooks/20100814,stub|7z|bz2
20110111,arwikinews,arwikinews/20110111,stub|7z|bz2
20100815,arwikiquote,arwikiquote/20100815,stub|7z|bz2
20110110,arwikisource,arwikisource/20110110,stub|7z|bz2
20100815,arwiktionary,arwiktionary/20100815,stub|7z|bz2
20100814,arzwiki,arzwiki/20100814,stub|7z|bz2
20110111,astwiki,astwiki/20110111,stub|7z|bz2
20100815,astwikibooks,astwikibooks/20100815,stub|7z|bz2
20110111,astwikiquote,astwikiquote/20110111,stub|7z|bz2
20110111,astwiktionary,astwiktionary/20110111,stub|7z|bz2
20110111,aswiki,aswiki/20110111,stub|7z|bz2
20110111,aswikibooks,aswikibooks/20110111,stub|7z|bz2,locked
20100816,avwiki,avwiki/20100816,stub|7z|bz2
20100816,avwiktionary,avwiktionary/20100816,stub|7z|bz2
20100816,aywiki,aywiki/20100816,stub|7z|bz2
20100816,aywiktionary,aywiktionary/20100816,stub|7z|bz2
20110110,azwiki,azwiki/20110110,stub|7z|bz2
20100816,azwikibooks,azwikibooks/20100816,stub|7z|bz2
20100816,azwikiquote,azwikiquote/20100816,stub|7z|bz2
20100816,azwikisource,azwikisource/20100816,stub|7z|bz2
20100816,azwiktionary,azwiktionary/20100816,stub|7z|bz2
20100815,barwiki,barwiki/20100815,stub|7z|bz2
20100816,bat_smgwiki,bat_smgwiki/20100816,stub|7z|bz2
20100816,bawiki,bawiki/20100816,stub|7z|bz2
20100816,bawikibooks,bawikibooks/20100816,stub|7z|bz2
20110111,bclwiki,bclwiki/20110111,stub|7z|bz2
20110112,be_x_oldwiki,be_x_oldwiki/20110112,stub|7z|bz2
20100814,betawikiversity,betawikiversity/20100814,stub|7z|bz2
20110111,bewiki,bewiki/20110111,stub|7z|bz2
20100814,bewikibooks,bewikibooks/20100814,stub|7z|bz2
20100815,bewikiquote,bewikiquote/20100815,stub|7z|bz2
20100816,bewiktionary,bewiktionary/20100816,stub|7z|bz2
20100813,bgwiki,bgwiki/20100813,stub|7z|bz2
20100816,bgwikibooks,bgwikibooks/20100816,stub|7z|bz2
20100816,bgwikinews,bgwikinews/20100816,stub|7z|bz2
20100816,bgwikiquote,bgwikiquote/20100816,stub|7z|bz2
20100816,bgwikisource,bgwikisource/20100816,stub|7z|bz2
20100816,bgwiktionary,bgwiktionary/20100816,stub|7z|bz2
20100816,bhwiki,bhwiki/20100816,stub|7z|bz2
20100815,bhwiktionary,bhwiktionary/20100815,stub|7z|bz2
20100815,biwiki,biwiki/20100815,stub|7z|bz2
20100815,biwiktionary,biwiktionary/20100815,stub|7z|bz2
20110111,bjnwiki,bjnwiki/20110111,stub|7z|bz2
20100816,bmwiki,bmwiki/20100816,stub|7z|bz2
20100817,bmwikiquote,bmwikiquote/20100817,stub|7z|bz2
20110110,bmwiktionary,bmwiktionary/20110110,stub|7z|bz2,locked
20110110,bnwiki,bnwiki/20110110,stub|7z|bz2
20100815,bnwikibooks,bnwikibooks/20100815,stub|7z|bz2
20100816,bnwikisource,bnwikisource/20100816,stub|7z|bz2
20100815,bnwiktionary,bnwiktionary/20100815,stub|7z|bz2
20100816,bowiki,bowiki/20100816,stub|7z|bz2
20100815,bowikibooks,bowikibooks/20100815,stub|7z|bz2
20100814,bpywiki,bpywiki/20100814,stub|7z|bz2
20100816,brwiki,brwiki/20100816,stub|7z|bz2
20110112,brwikimedia,brwikimedia/20110112,stub|7z|bz2
20110111,brwikiquote,brwikiquote/20110111,stub|7z|bz2
20100815,brwiktionary,brwiktionary/20100815,stub|7z|bz2
20100815,bswiki,bswiki/20100815,stub|7z|bz2
20100815,bswikibooks,bswikibooks/20100815,stub|7z|bz2
20100816,bswikinews,bswikinews/20100816,stub|7z|bz2
20100815,bswikiquote,bswikiquote/20100815,stub|7z|bz2
20100815,bswikisource,bswikisource/20100815,stub|7z|bz2
20100815,bswiktionary,bswiktionary/20100815,stub|7z|bz2
20100815,bugwiki,bugwiki/20100815,stub|7z|bz2
20100816,bxrwiki,bxrwiki/20100816,stub|7z|bz2
20110111,cawiki,cawiki/20110111,stub|7z|bz2
20100816,cawikibooks,cawikibooks/20100816,stub|7z|bz2
20100815,cawikinews,cawikinews/20100815,stub|7z|bz2
20100815,cawikiquote,cawikiquote/20100815,stub|7z|bz2
20100815,cawikisource,cawikisource/20100815,stub|7z|bz2
20100814,cawiktionary,cawiktionary/20100814,stub|7z|bz2
20100814,cbk_zamwiki,cbk_zamwiki/20100814,stub|7z|bz2
20100814,cdowiki,cdowiki/20100814,stub|7z|bz2
20100815,cebwiki,cebwiki/20100815,stub|7z|bz2
20100815,cewiki,cewiki/20100815,stub|7z|bz2
20100816,chrwiki,chrwiki/20100816,stub|7z|bz2
20100814,chrwiktionary,chrwiktionary/20100814,stub|7z|bz2
20100814,chwiki,chwiki/20100814,stub|7z|bz2
20100814,chwikimedia,chwikimedia/20100814,stub|7z|bz2
20100815,chywiki,chywiki/20100815,stub|7z|bz2
20100815,ckbwiki,ckbwiki/20100815,stub|7z|bz2
20101101,commonswiki,commonswiki/20101101,stub|7z|bz2
20100816,cowiki,cowiki/20100816,stub|7z|bz2
20100816,cowikibooks,cowikibooks/20100816,stub|7z|bz2
20100815,cowikimedia,cowikimedia/20100815,stub|7z|bz2
20100815,cowiktionary,cowiktionary/20100815,stub|7z|bz2
20100812,crhwiki,crhwiki/20100812,stub|7z|bz2
20100812,crwiki,crwiki/20100812,stub|7z|bz2
20100815,crwikiquote,crwikiquote/20100815,stub|7z|bz2
20100816,crwiktionary,crwiktionary/20100816,stub|7z|bz2
